,PLAYER_NAME,GROUP_VALUE,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK
6,Al Horford,2015-16,ATL,82,48,34,0.585,32.1,6.5,12.8,0.505,1.1,3.1,0.344,1.3,1.6,0.798,1.8,5.5,7.3,3.2,1.3,0.8,1.5,0.4,2.0,1.4,15.2,2.8,34.4,17,0,1,3,3,8,7,5,4,9,7,6,10,12,12,5,8,10,9,10,12,7,2,10,9,13,4,7,4,6,3
6,Dennis Schroder,2015-16,ATL,80,47,33,0.588,20.3,4.1,9.8,0.421,1.0,3.0,0.322,1.8,2.3,0.791,0.3,2.2,2.6,4.4,2.3,0.9,0.1,0.9,1.7,2.2,11.0,2.8,21.3,2,0,1,2,3,5,7,7,7,7,7,7,7,8,8,8,7,7,7,5,5,4,5,7,7,8,7,2,7,6,1
9,Jeff Teague,2015-16,ATL,79,47,32,0.595,28.5,5.5,12.5,0.439,1.4,3.5,0.401,3.3,3.9,0.837,0.4,2.3,2.7,5.9,2.8,1.2,0.3,1.1,2.1,3.2,15.7,0.8,29.7,4,0,3,3,5,4,8,3,2,8,1,1,2,5,5,10,4,3,3,8,4,5,9,2,5,5,3,7,6,7,1
8,Kent Bazemore,2015-16,ATL,75,44,31,0.587,27.8,4.3,9.7,0.441,1.5,4.1,0.357,1.6,2.0,0.815,0.4,4.7,5.1,2.3,1.8,1.3,0.5,0.5,2.3,2.3,11.6,1.0,24.7,1,0,1,2,5,3,2,3,5,3,2,3,6,5,6,1,6,1,1,4,3,4,5,4,6,4,4,2,2,1,1
8,Kyle Korver,2015-16,ATL,80,46,34,0.575,30.0,3.4,7.7,0.434,2.0,5.0,0.398,0.6,0.7,0.833,0.2,3.1,3.3,2.1,1.2,0.8,0.4,0.2,2.0,0.8,9.2,5.4,18.6,0,0,4,4,5,10,7,10,8,13,10,10,15,18,18,15,15,6,8,5,6,7,4,12,9,14,11,2,7,5,1
6,Paul Millsap,2015-16,ATL,81,48,33,0.593,32.7,6.2,13.2,0.47,0.9,2.9,0.319,3.8,5.0,0.757,2.4,6.6,9.0,3.3,2.4,1.8,1.7,0.9,2.9,4.4,17.1,2.7,41.1,32,0,4,6,4,8,6,5,4,12,6,5,10,3,3,5,3,1,1,2,2,2,1,6,8,3,4,7,1,1,2
12,Avery Bradley,2015-16,BOS,76,45,31,0.592,33.4,6.0,13.4,0.447,1.9,5.4,0.361,1.3,1.6,0.78,0.6,2.3,2.9,2.1,1.4,1.5,0.3,0.6,2.2,1.3,15.2,2.8,25.7,0,0,2,1,3,6,1,4,5,6,3,1,9,4,5,10,4,6,6,4,6,1,3,8,9,6,3,2,3,4,1
4,Evan Turner,2015-16,BOS,81,47,34,0.58,28.0,4.2,9.3,0.456,0.2,1.0,0.241,1.8,2.2,0.827,0.6,4.3,4.9,4.4,2.1,1.0,0.3,0.5,1.7,2.0,10.5,1.2,25.0,4,0,3,2,5,3,3,3,3,2,7,6,8,3,3,4,3,5,5,2,4,3,4,7,9,3,3,1,4,5,3
10,Isaiah Thomas,2015-16,BOS,82,48,34,0.585,32.2,7.2,16.9,0.428,2.0,5.7,0.359,5.8,6.6,0.871,0.6,2.4,3.0,6.2,2.7,1.1,0.1,1.3,2.0,5.5,22.2,3.6,36.1,7,0,1,2,4,3,3,2,2,5,3,5,5,2,2,6,5,1,1,2,5,2,7,3,7,2,2,2,2,1,2
10,Jae Crowder,2015-16,BOS,73,43,30,0.589,31.6,4.9,11.1,0.443,1.7,5.0,0.336,2.7,3.3,0.82,1.0,4.2,5.1,1.8,1.1,1.7,0.5,0.3,2.7,2.5,14.2,3.0,28.6,5,0,4,4,4,8,2,1,1,3,8,8,6,1,1,3,2,6,4,4,3,1,3,7,2,1,1,6,1,2,1
1,Jared Sullinger,2015-16,BOS,81,47,34,0.58,23.6,4.3,10.0,0.435,0.4,1.3,0.282,1.3,2.0,0.64,2.4,5.9,8.3,2.3,1.3,0.9,0.6,0.6,2.6,2.0,10.3,2.6,27.0,25,0,1,1,2,1,3,3,3,3,3,4,2,3,3,4,3,1,1,2,3,1,3,4,4,3,3,1,3,1,1
8,Kelly Olynyk,2015-16,BOS,69,40,29,0.58,20.2,3.7,8.1,0.455,1.2,3.0,0.405,1.4,1.9,0.75,1.0,3.0,4.1,1.5,1.1,0.8,0.5,0.5,2.4,1.7,10.0,3.2,19.7,1,0,5,4,5,3,8,6,6,9,7,7,2,7,6,7,6,10,10,10,9,6,5,6,9,8,7,2,7,8,1
8,Bojan Bogdanovic,2015-16,BKN,79,21,58,0.266,26.8,4.1,9.5,0.433,1.6,4.3,0.382,1.4,1.7,0.833,0.5,2.8,3.2,1.3,1.5,0.4,0.1,0.9,1.5,1.4,11.2,-4.9,16.8,1,0,3,7,1,8,7,8,7,9,8,8,7,8,8,7,6,7,7,7,7,9,5,4,8,8,8,8,8,2,1
6,Brook Lopez,2015-16,BKN,73,21,52,0.288,33.7,8.1,15.8,0.511,0.0,0.2,0.143,4.3,5.5,0.787,2.8,5.1,7.8,2.0,2.4,0.8,1.7,0.8,2.9,4.6,20.6,-1.7,38.1,26,0,8,9,4,12,3,1,2,5,7,7,7,4,5,10,4,3,3,3,3,2,8,7,5,4,2,10,1,2,1
5,Joe Johnson,2015-16,TOT,81,31,50,0.383,33.4,4.7,10.6,0.439,1.5,3.9,0.383,1.5,1.8,0.831,0.6,3.0,3.6,3.9,2.0,0.8,0.0,0.3,1.8,1.7,12.2,-0.7,22.9,3,0,1,3,1,3,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,3,2,1,1,1,2,1,1,1
6,Joe Johnson,2015-16,MIA,24,16,8,0.667,32.1,5.4,10.5,0.518,1.5,3.5,0.417,1.1,1.4,0.765,0.6,2.2,2.8,3.6,1.8,0.9,0.1,0.2,1.9,1.5,13.4,4.0,23.2,0,0,19,17,19,4,14,13,14,2,12,13,2,15,15,17,15,19,19,12,11,9,17,17,7,12,13,4,13,14,3
7,Joe Johnson,2015-16,BKN,57,15,42,0.263,33.9,4.3,10.7,0.406,1.5,4.0,0.371,1.6,1.9,0.852,0.6,3.3,3.9,4.1,2.0,0.7,0.0,0.4,1.8,1.8,11.8,-2.6,22.8,3,0,14,19,4,21,12,14,13,19,11,12,9,13,13,2,17,7,11,8,6,13,20,11,11,11,14,16,14,6,3
