season,Award,Name,First Votes,Points Won,Max Points,Award Shares
2020-21,mvp,Nikola Jokić,91.0,971.0,1010,0.961
2020-21,mvp,Joel Embiid,1.0,586.0,1010,0.580
2020-21,mvp,Stephen Curry,5.0,453.0,1010,0.449
2020-21,mvp,Giannis Antetokounmpo,1.0,348.0,1010,0.345
2020-21,mvp,Chris Paul,2.0,139.0,1010,0.138
2020-21,mvp,Luka Dončić,0.0,42.0,1010,0.042
2020-21,mvp,Damian Lillard,0.0,38.0,1010,0.038
2020-21,mvp,Julius Randle,0.0,20.0,1010,0.020
2020-21,mvp,Derrick Rose,1.0,10.0,1010,0.010
2020-21,mvp,Rudy Gobert,0.0,8.0,1010,0.008
2020-21,mvp,Russell Westbrook,0.0,5.0,1010,0.005
2020-21,mvp,Ben Simmons,0.0,3.0,1010,0.003
2020-21,mvp,James Harden,0.0,1.0,1010,0.001
2020-21,mvp,LeBron James,0.0,1.0,1010,0.001
2020-21,mvp,Kawhi Leonard,0.0,1.0,1010,0.001
2020-21,roy,LaMelo Ball,84.0,465.0,495,0.939
2020-21,roy,Anthony Edwards,15.0,309.0,495,0.624
2020-21,roy,Tyrese Haliburton,0.0,114.0,495,0.230
2020-21,roy,Saddiq Bey,0.0,3.0,495,0.006
2019-20,mvp,Giannis Antetokounmpo,85.0,962.0,1010,0.952
2019-20,mvp,LeBron James,16.0,753.0,1010,0.746
2019-20,mvp,James Harden,0.0,367.0,1010,0.363
2019-20,mvp,Luka Dončić,0.0,200.0,1010,0.198
2019-20,mvp,Kawhi Leonard,0.0,168.0,1010,0.166
2019-20,mvp,Anthony Davis,0.0,82.0,1010,0.081
2019-20,mvp,Chris Paul,0.0,26.0,1010,0.026
2019-20,mvp,Damian Lillard,0.0,23.0,1010,0.023
2019-20,mvp,Nikola Jokić,0.0,18.0,1010,0.018
2019-20,mvp,Pascal Siakam,0.0,17.0,1010,0.017
2019-20,mvp,Jimmy Butler,0.0,9.0,1010,0.009
2019-20,mvp,Jayson Tatum,0.0,1.0,1010,0.001
2019-20,roy,Ja Morant,99.0,498.0,500,0.996
2019-20,roy,Kendrick Nunn,0.0,204.0,500,0.408
2019-20,roy,Zion Williamson,1.0,140.0,500,0.280
2019-20,roy,Brandon Clarke,0.0,50.0,500,0.100
2019-20,roy,Coby White,0.0,3.0,500,0.006
2019-20,roy,Terence Davis,0.0,2.0,500,0.004
2019-20,roy,Eric Paschall,0.0,2.0,500,0.004
2019-20,roy,RJ Barrett,0.0,1.0,500,0.002
2018-19,mvp,Giannis Antetokounmpo,78.0,941.0,1010,0.932
2018-19,mvp,James Harden,23.0,776.0,1010,0.768
2018-19,mvp,Paul George,0.0,356.0,1010,0.352
2018-19,mvp,Nikola Jokić,0.0,212.0,1010,0.210
2018-19,mvp,Stephen Curry,0.0,175.0,1010,0.173
2018-19,mvp,Damian Lillard,0.0,69.0,1010,0.068
2018-19,mvp,Joel Embiid,0.0,49.0,1010,0.049
2018-19,mvp,Kevin Durant,0.0,25.0,1010,0.025
2018-19,mvp,Kawhi Leonard,0.0,13.0,1010,0.013
2018-19,mvp,Russell Westbrook,0.0,8.0,1010,0.008
2018-19,mvp,Rudy Gobert,0.0,1.0,1010,0.001
2018-19,mvp,LeBron James,0.0,1.0,1010,0.001
2018-19,roy,Luka Dončić,98.0,496.0,500,0.992
2018-19,roy,Trae Young,2.0,301.0,500,0.602
2018-19,roy,Deandre Ayton,0.0,66.0,500,0.132
2018-19,roy,Jaren Jackson Jr.,0.0,12.0,500,0.024
2018-19,roy,Collin Sexton,0.0,10.0,500,0.020
2018-19,roy,Shai Gilgeous-Alexander,0.0,7.0,500,0.014
2018-19,roy,Marvin Bagley III,0.0,6.0,500,0.012
2018-19,roy,Josh Okogie,0.0,1.0,500,0.002
2018-19,roy,Mitchell Robinson,0.0,1.0,500,0.002
2017-18,mvp,James Harden,86.0,965.0,1010,0.955
2017-18,mvp,LeBron James,15.0,738.0,1010,0.731
2017-18,mvp,Anthony Davis,0.0,445.0,1010,0.441
2017-18,mvp,Damian Lillard,0.0,207.0,1010,0.205
2017-18,mvp,Russell Westbrook,0.0,76.0,1010,0.075
2017-18,mvp,Giannis Antetokounmpo,0.0,75.0,1010,0.074
2017-18,mvp,Kevin Durant,0.0,66.0,1010,0.065
2017-18,mvp,DeMar DeRozan,0.0,32.0,1010,0.032
2017-18,mvp,LaMarcus Aldridge,0.0,6.0,1010,0.006
2017-18,mvp,Jimmy Butler,0.0,5.0,1010,0.005
2017-18,mvp,Stephen Curry,0.0,5.0,1010,0.005
2017-18,mvp,Joel Embiid,0.0,4.0,1010,0.004
2017-18,mvp,Victor Oladipo,0.0,2.0,1010,0.002
2017-18,roy,Ben Simmons,90.0,481.0,505,0.952
2017-18,roy,Donovan Mitchell,11.0,323.0,505,0.640
2017-18,roy,Jayson Tatum,0.0,101.0,505,0.200
2017-18,roy,Kyle Kuzma,0.0,3.0,505,0.006
2017-18,roy,Dennis Smith Jr.,0.0,1.0,505,0.002
2016-17,mvp,Russell Westbrook,69.0,888.0,1010,0.879
2016-17,mvp,James Harden,22.0,753.0,1010,0.746
2016-17,mvp,Kawhi Leonard,9.0,500.0,1010,0.495
2016-17,mvp,LeBron James,1.0,333.0,1010,0.330
2016-17,mvp,Isaiah Thomas,0.0,81.0,1010,0.080
2016-17,mvp,Stephen Curry,0.0,52.0,1010,0.051
2016-17,mvp,Giannis Antetokounmpo,0.0,7.0,1010,0.007
2016-17,mvp,John Wall,0.0,7.0,1010,0.007
2016-17,mvp,Anthony Davis,0.0,2.0,1010,0.002
2016-17,mvp,Kevin Durant,0.0,2.0,1010,0.002
2016-17,mvp,DeMar DeRozan,0.0,1.0,1010,0.001
2016-17,roy,Malcolm Brogdon,64.0,414.0,500,0.828
2016-17,roy,Dario Šarić,13.0,266.0,500,0.532
2016-17,roy,Joel Embiid,23.0,177.0,500,0.354
2016-17,roy,Buddy Hield,0.0,21.0,500,0.042
2016-17,roy,Willy Hernangómez,0.0,8.0,500,0.016
2016-17,roy,Jamal Murray,0.0,8.0,500,0.016
2016-17,roy,Marquese Chriss,0.0,3.0,500,0.006
2016-17,roy,Jaylen Brown,0.0,1.0,500,0.002
2016-17,roy,Yogi Ferrell,0.0,1.0,500,0.002
2016-17,roy,Rodney McGruder,0.0,1.0,500,0.002
2015-16,mvp,Stephen Curry,131.0,1310.0,1310,1.000
2015-16,mvp,Kawhi Leonard,0.0,634.0,1310,0.484
2015-16,mvp,LeBron James,0.0,631.0,1310,0.482
2015-16,mvp,Russell Westbrook,0.0,486.0,1310,0.371
2015-16,mvp,Kevin Durant,0.0,147.0,1310,0.112
2015-16,mvp,Chris Paul,0.0,107.0,1310,0.082
2015-16,mvp,Draymond Green,0.0,50.0,1310,0.038
2015-16,mvp,Damian Lillard,0.0,26.0,1310,0.020
2015-16,mvp,James Harden,0.0,9.0,1310,0.007
2015-16,mvp,Kyle Lowry,0.0,6.0,1310,0.005
2015-16,roy,Karl-Anthony Towns,130.0,650.0,650,1.000
2015-16,roy,Kristaps Porziņģis,0.0,363.0,650,0.558
2015-16,roy,Nikola Jokić,0.0,59.0,650,0.091
2015-16,roy,Devin Booker,0.0,49.0,650,0.075
2015-16,roy,Jahlil Okafor,0.0,34.0,650,0.052
2015-16,roy,Justise Winslow,0.0,7.0,650,0.011
2015-16,roy,Emmanuel Mudiay,0.0,4.0,650,0.006
